"Données historiques"
"Date: 01/01/1990 - 21/10/2016"
"CAC 40"
"ISIN","MIC","Date","Ouvert","Haut","Bas","Fermer","Nombre de titres","Number of Trades","Capitaux","Devise"
"FR0003500008","Euronext Paris","02/01/1990","1988.85","2001.06","1982.38","1988.85","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","03/01/1990","1979.89","1995.21","1974.70","1979.89","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","04/01/1990","2006.42","2006.42","1978.02","2006.42","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","05/01/1990","1994.30","2000.91","1980.61","1994.36","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","08/01/1990","1968.95","1976.48","1959.05","1968.95","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","09/01/1990","1970.28","1970.43","1961.42","1970.28","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","10/01/1990","1968.41","1972.74","1962.00","1970.38","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","11/01/1990","1992.89","1995.67","1971.07","1992.89","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","12/01/1990","1968.65","1995.76","1954.81","1968.65","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","15/01/1990","1962.89","1967.42","1950.99","1962.89","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","16/01/1990","1935.21","1952.17","1914.78","1935.21","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","17/01/1990","1953.14","1953.68","1943.37","1953.14","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","18/01/1990","1934.72","1947.83","1919.14","1934.72","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","19/01/1990","1925.80","1936.53","1924.11","1925.95","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","22/01/1990","1925.40","1931.84","1912.77","1915.82","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","23/01/1990","1912.36","1915.12","1883.89","1912.36","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","24/01/1990","1881.73","1892.13","1855.42","1881.73","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","25/01/1990","1893.23","1899.39","1885.04","1893.23","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","26/01/1990","1875.29","1887.34","1873.59","1886.75","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","29/01/1990","1904.71","1909.36","1892.19","1904.71","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","30/01/1990","1892.03","1912.97","1883.24","1892.03","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","31/01/1990","1882.88","1894.27","1880.17","1882.88","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","01/02/1990","1895.53","1902.10","1890.90","1895.50","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","02/02/1990","1915.58","1924.70","1900.04","1924.70","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","05/02/1990","1926.14","1938.27","1915.90","1926.14","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","06/02/1990","1927.57","1935.21","1907.00","1916.33","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","07/02/1990","1895.24","1905.19","1880.45","1895.24","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","08/02/1990","1905.51","1905.51","1888.03","1905.51","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","09/02/1990","1898.44","1912.47","1893.64","1898.25","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","12/02/1990","1867.74","1894.37","1864.20","1867.40","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","13/02/1990","1845.43","1863.75","1839.81","1845.43","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","14/02/1990","1856.79","1859.93","1839.82","1853.99","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","15/02/1990","1853.99","1860.12","1846.93","1856.86","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","16/02/1990","1871.12","1875.36","1855.54","1871.12","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","19/02/1990","1838.03","1856.96","1833.87","1838.03","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","20/02/1990","1820.16","1830.23","1817.16","1820.16","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","21/02/1990","1803.79","1806.94","1783.69","1803.79","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","22/02/1990","1814.75","1836.91","1813.68","1836.91","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","23/02/1990","1803.62","1823.02","1790.21","1803.62","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","26/02/1990","1804.10","1806.28","1773.57","1804.10","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","27/02/1990","1825.38","1835.00","1821.67","1825.38","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","28/02/1990","1849.68","1851.12","1835.84","1849.68","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","01/03/1990","1832.44","1838.16","1827.95","1832.44","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","02/03/1990","1848.11","1860.48","1831.39","1860.48","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","05/03/1990","1874.43","1874.74","1862.88","1874.43","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","06/03/1990","1872.30","1875.96","1866.48","1872.30","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","07/03/1990","1880.80","1881.41","1869.56","1880.57","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","08/03/1990","1917.99","1923.82","1891.00","1917.99","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","09/03/1990","1926.61","1941.17","1915.31","1921.11","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","12/03/1990","1912.60","1918.12","1905.52","1912.59","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","13/03/1990","1924.30","1924.57","1903.13","1924.30","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","14/03/1990","1943.40","1946.48","1919.20","1946.37","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","15/03/1990","1964.50","1967.33","1950.02","1964.47","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","16/03/1990","1953.80","1967.17","1952.94","1958.82","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","19/03/1990","1936.96","1953.38","1931.56","1936.96","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","20/03/1990","1925.39","1941.36","1922.03","1925.39","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","21/03/1990","1937.18","1940.08","1924.36","1937.18","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","22/03/1990","1914.11","1930.86","1910.47","1914.11","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","23/03/1990","1933.60","1943.83","1922.78","1943.83","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","26/03/1990","1964.16","1966.87","1948.28","1964.16","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","27/03/1990","1945.96","1958.91","1943.93","1945.96","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","28/03/1990","1939.33","1948.28","1931.17","1939.33","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","29/03/1990","1947.23","1952.63","1939.78","1947.63","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","30/03/1990","1958.30","1975.21","1942.91","1971.79","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","02/04/1990","1947.18","1961.64","1936.96","1947.18","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","03/04/1990","1985.55","1990.33","1953.38","1985.55","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","04/04/1990","1997.08","2014.01","1994.09","2001.49","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","05/04/1990","2028.06","2034.11","1997.41","2028.06","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","06/04/1990","2069.89","2081.55","2053.16","2069.89","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","09/04/1990","2075.84","2086.58","2063.15","2083.90","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","10/04/1990","2073.03","2079.30","2065.19","2075.38","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","11/04/1990","2079.60","2106.62","2072.04","2103.10","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","12/04/1990","2116.66","2116.66","2096.28","2116.66","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","17/04/1990","2126.34","2141.13","2117.00","2126.34","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","18/04/1990","2098.68","2128.90","2096.77","2097.53","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","19/04/1990","2097.12","2102.35","2072.77","2097.12","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","20/04/1990","2129.32","2131.46","2100.45","2129.32","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","23/04/1990","2089.70","2137.78","2083.15","2089.77","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","24/04/1990","2101.40","2108.67","2082.34","2101.40","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","25/04/1990","2102.41","2113.58","2091.50","2109.59","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","26/04/1990","2072.10","2108.05","2067.08","2072.16","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","27/04/1990","2066.20","2079.80","2053.96","2066.27","0.00","0.00","-","EUR"
"FR0003500008","Euronext Paris","30/04/1990","2046.40","2057.38","2032.52","2046.46","0.00","0.00","-","EUR"
